Run Number,Polarization,Error
3756.0,86.185,0.163
3758.0,86.185,0.163
3759.0,86.185,0.163
3761.0,86.185,0.163
3762.0,86.185,0.163
3763.0,86.185,0.163
3764.0,86.185,0.163
3765.0,86.185,0.163
3766.0,86.185,0.163
3767.0,86.185,0.163
3782.0,86.185,0.163
3783.0,86.185,0.163
3784.0,86.185,0.163
3786.0,86.185,0.163
3787.0,86.185,0.163
3788.0,86.185,0.163
3789.0,86.185,0.163
3790.0,86.185,0.163
3791.0,86.185,0.163
3792.0,86.185,0.163
3794.0,86.185,0.163
3795.0,86.185,0.163
3796.0,86.185,0.163
3810.0,86.185,0.163
3811.0,86.185,0.163
3812.0,86.185,0.163
3813.0,86.185,0.163
3815.0,86.185,0.163
3822.0,86.185,0.163
3823.0,86.185,0.163
3824.0,86.185,0.163
3825.0,86.185,0.163
3826.0,86.185,0.163
3827.0,86.185,0.163
3828.0,86.185,0.163
3829.0,86.185,0.163
3830.0,86.185,0.163
3832.0,86.185,0.163
3833.0,86.185,0.163
3835.0,86.185,0.163
3836.0,86.185,0.163
3837.0,86.185,0.163
3838.0,86.185,0.163
3839.0,86.185,0.163
3840.0,86.185,0.163
3841.0,86.185,0.163
3842.0,86.185,0.163
3843.0,86.185,0.163
3844.0,86.185,0.163
3846.0,86.185,0.163
3847.0,86.185,0.163
3848.0,86.185,0.163
3849.0,86.185,0.163
3850.0,86.185,0.163
3851.0,86.185,0.163
3852.0,86.185,0.163
3853.0,86.185,0.163
3854.0,86.185,0.163
3855.0,86.185,0.163
3856.0,86.185,0.163
3857.0,86.185,0.163
3858.0,86.185,0.163
3859.0,86.185,0.163
3860.0,86.185,0.163
3861.0,86.185,0.163
3864.0,86.185,0.163
3866.0,86.185,0.163
3868.0,86.185,0.163
3869.0,86.185,0.163
3878.0,82.334,0.07
3880.0,82.334,0.07
3881.0,82.334,0.07
3882.0,82.334,0.07
3883.0,82.334,0.07
3884.0,82.334,0.07
3885.0,82.334,0.07
3889.0,82.334,0.07
3890.0,82.334,0.07
3923.0,82.334,0.07
3924.0,82.334,0.07
3926.0,82.334,0.07
3927.0,82.334,0.07
3928.0,82.334,0.07
3929.0,82.334,0.07
3930.0,82.334,0.07
3931.0,82.334,0.07
3932.0,82.334,0.07
3933.0,82.334,0.07
3934.0,82.334,0.07
3935.0,82.334,0.07
3936.0,82.334,0.07
3937.0,82.334,0.07
3938.0,82.334,0.07
3939.0,82.334,0.07
3940.0,82.334,0.07
3941.0,82.334,0.07
3942.0,82.334,0.07
3944.0,82.334,0.07
3945.0,82.334,0.07
3946.0,82.334,0.07
3947.0,82.334,0.07
3948.0,82.334,0.07
3951.0,82.334,0.07
3952.0,82.334,0.07
3954.0,82.334,0.07
3955.0,82.334,0.07
3956.0,82.334,0.07
3957.0,82.334,0.07
3958.0,82.334,0.07
3959.0,82.334,0.07
3960.0,82.334,0.07
3961.0,82.334,0.07
3962.0,82.334,0.07
3963.0,82.334,0.07
3964.0,82.334,0.07
3965.0,82.334,0.07
3966.0,82.334,0.07
3967.0,82.334,0.07
3968.0,82.334,0.07
3970.0,82.334,0.07
3972.0,82.334,0.07
3973.0,82.334,0.07
3974.0,82.334,0.07
3975.0,82.334,0.07
3976.0,82.334,0.07
3977.0,82.334,0.07
3978.0,82.334,0.07
3980.0,82.334,0.07
3981.0,82.334,0.07
3983.0,82.334,0.07
3985.0,82.334,0.07
3986.0,82.334,0.07
3996.0,82.334,0.07
3998.0,82.334,0.07
4023.0,82.334,0.07
4024.0,82.334,0.07
4025.0,82.334,0.07
4027.0,82.334,0.07
4028.0,82.334,0.07
4029.0,82.334,0.07
4030.0,82.334,0.07
4031.0,82.334,0.07
4032.0,82.334,0.07
4034.0,82.334,0.07
4035.0,82.334,0.07
4036.0,82.334,0.07
4037.0,82.334,0.07
4038.0,82.334,0.07
4043.0,82.334,0.07
4044.0,82.334,0.07
4046.0,82.334,0.07
4048.0,82.334,0.07
4051.0,82.334,0.07
4052.0,82.334,0.07
4053.0,82.334,0.07
4054.0,82.334,0.07
4055.0,82.334,0.07
4056.0,82.334,0.07
4057.0,82.334,0.07
4058.0,82.334,0.07
4059.0,82.334,0.07
4060.0,82.334,0.07
4061.0,82.334,0.07
4062.0,82.334,0.07
4063.0,82.334,0.07
4064.0,82.334,0.07
4065.0,82.334,0.07
4066.0,82.334,0.07
4067.0,82.334,0.07
4068.0,82.334,0.07
4069.0,82.334,0.07
4070.0,82.334,0.07
4071.0,82.334,0.07
4072.0,82.334,0.07
4073.0,82.334,0.07
4074.0,82.334,0.07
4075.0,82.334,0.07
4076.0,82.334,0.07
4077.0,82.334,0.07
4078.0,82.334,0.07
4079.0,82.334,0.07
4080.0,82.334,0.07
4081.0,82.334,0.07
4082.0,82.334,0.07
4083.0,82.334,0.07
4084.0,82.334,0.07
4085.0,82.334,0.07
4086.0,82.334,0.07
4087.0,82.334,0.07
4088.0,82.334,0.07
4089.0,82.334,0.07
4091.0,82.334,0.07
4092.0,82.334,0.07
4093.0,82.334,0.07
4094.0,82.334,0.07
4095.0,82.334,0.07
4096.0,82.334,0.07
4097.0,82.334,0.07
4098.0,82.334,0.07
4099.0,82.334,0.07
4100.0,82.334,0.07
4101.0,82.334,0.07
4102.0,82.334,0.07
4103.0,82.334,0.07
4104.0,82.334,0.07
4105.0,82.334,0.07
4106.0,82.334,0.07
4107.0,82.334,0.07
4114.0,82.334,0.07
4115.0,82.334,0.07
4116.0,82.334,0.07
4117.0,82.334,0.07
4118.0,82.334,0.07
4119.0,82.334,0.07
4120.0,82.334,0.07
4121.0,82.334,0.07
4122.0,82.334,0.07
4155.0,82.334,0.07
4156.0,82.334,0.07
4159.0,82.334,0.07
4160.0,82.334,0.07
4164.0,82.334,0.07
4165.0,82.334,0.07
4167.0,82.334,0.07
4168.0,82.334,0.07
4169.0,82.334,0.07
4170.0,82.334,0.07
4171.0,82.334,0.07
4172.0,82.334,0.07
4173.0,82.334,0.07
4174.0,82.334,0.07
4175.0,82.334,0.07
4176.0,82.334,0.07
4178.0,82.334,0.07
4179.0,82.334,0.07
4180.0,82.334,0.07
4181.0,82.334,0.07
4182.0,82.334,0.07
4186.0,82.334,0.07
4187.0,82.334,0.07
4188.0,82.334,0.07
4190.0,82.334,0.07
4192.0,82.334,0.07
4194.0,82.334,0.07
4195.0,82.334,0.07
4196.0,82.334,0.07
4197.0,82.334,0.07
4198.0,82.334,0.07
4199.0,82.334,0.07
4200.0,82.334,0.07
4201.0,82.334,0.07
4202.0,82.334,0.07
4203.0,82.334,0.07
4204.0,82.334,0.07
4214.0,82.334,0.07
4215.0,82.334,0.07
4216.0,82.334,0.07
4217.0,82.334,0.07
4218.0,82.334,0.07
4219.0,82.334,0.07
4220.0,82.334,0.07
4223.0,82.334,0.07
4224.0,82.334,0.07
4230.0,82.334,0.07
4231.0,82.334,0.07
4233.0,82.334,0.07
4234.0,82.334,0.07
4236.0,82.334,0.07
4251.0,82.334,0.07
4252.0,82.334,0.07
4253.0,82.334,0.07
4254.0,82.334,0.07
4256.0,82.334,0.07
4257.0,82.334,0.07
4258.0,82.334,0.07
4260.0,82.334,0.07
4261.0,82.334,0.07
4262.0,82.334,0.07
4263.0,82.334,0.07
4264.0,82.334,0.07
4265.0,82.334,0.07
4266.0,82.334,0.07
